abandon,abandon
abandonment of,abandonment of
abolish,abolish
accede to pressure from,accede to pressure from
accelerate,accelerate
accept,accept
accept as,accept as
accept with,accept with
accepted as,accepted as
accepts,accept
access,access
accessing,access
accommodate,accommodate
accompanied,accompany
accuse,accuse
accused,accuse
accused in,accused in
accused of,accused of
achieve,achieve
achieved,achieve
acknowledge,acknowledge
acquiesce,acquiesce
acquire,acquire
acquired,acquire
acquit,acquit
act as checks on,act as checks on
acted as,acted as
adapt,adapt
add,add
address,address
addressed,address
adjacent to,adjacent to
administer,administer
admire,admire
admit,admit
adopt,adopt
advance,advance
advance on,advance on
advance to,advance to
adversely affect,adversely affect
advise,advise
advised against,advised against
advisor,advisor
advocate,advocate
advocate for,advocate for
advocated,advocate
affect,affect
affirm,reaffirm
against,against
aggravate,aggravate
agree,agree
agree to,agree to
agree to run for,agree to run for
agree to withdraw,agree to withdraw
agree to work,agree to work
aim to comply with,aim to comply with
alert,alert
align,align
allege,allege
allow,allow
allowed release,allowed release
allowing,allow
allude to,allude to
analyses,analyse
analyze,analyze
annex,annex
announce,announce
answer,answer
antagonize,antagonize
anti,anti
apologize for,apologize for
apologize to,apologize to
appeal,appeal
appeal for,appeal for
appeal to,appeal to
appealed,appeal
appealed to,appealed to
appear,appear
appear at,appear at
appear in,appear in
appear on,appear on
appearances on,appearances on
apply,apply
apply to,apply to
appoint,appoint
appoint as,appoint as
appointed,appoint
appointed as,appointed as
approach,approach
approached,approach
approve,approve
argue,contend
argue against,argue against
argue for,argue for
arise,arise
arm and train,arm and train
arouse,arouse
arrange,arrange
arrest warrant,arrest warrant
arrested by,arrested by
arrive in,arrive in
ask,ask
ask about,ask about
assassination,assassination
assemble,assemble
assert,assert
assert right to intervene,assert right to intervene
assess,determine
assign,assign
assigned to,assigned to
assist,assist
assume,assume
assume ownership,assume ownership
assumed,assume
assumed position,assumed position
assumes,assume
assured of,assured of
attack,attack
attempt,attempt
attempt occupation,attempt occupation
attempted rollback halted by,attempted rollback halted by
attempted to recruit,attempted to recruit
attend,attend
attends,attend
attract,attract
attribute,attribute
auctioned,auction
author,author
authorize,authorize
average,average
avert,avert
avoid,avoid
avoid mention of,avoid mention of
avoided discussions about,avoided discussions about
award,award
awarded,award
aware of,aware of
back,back
back down,back down
backed,back
balance,balance
ban,ban
baptize,baptize
bar,bar
bask in,bask in
be active in,be active in
be at odds with,be at odds with
be critical of,be critical of
be good for,be good for
be in,be in
be with,be with
be worth,be worth
became,become
became active in,became active in
become,become
become effective,become effective
begin,begin
begin career in,begin career in
begin construction in,begin construction in
believe,say
believe in,believe in
belonging to,belonging to
benefit from,benefit from
bill,bill
blame,blame
blind to,blind to
block,block
blocked,block
bolster,boost
boost,boost
born in,born in
born on,born on
borrow,borrow
bought,buy
break,break
bring,bring
bring in,bring in
bring into violation,bring into violation
broke,break
build,construct
built for,built for
burnt,burn
business associate of,business associate of
buy,sell
call,call
call for,call for
call for end,call for end
call for resignation,call for resignation
call for restrictions on,call for restrictions on
call on,call on
campaign,campaign
campaign against,campaign against
campaign for,campaign for
campaigned for,campaigned for
campaigns against,campaigns against
cancel,postpone
capitalize on,capitalize on
capture,capture
care,care
cared by,cared by
carry,carry
carry out,carry out
cast,cast
cast vote in support of,cast vote in support of
categorize,classify
cause,cause
caused,cause
cease,cease
celebrate,celebrate
cement,cement
centralise,centralise
certified,certify
chair,chair
change,change
characterize,describe
characterized by,characterized by
charge,charge
charge with,charge with
charged with,charged with
cheat,cheat
check,check
child of,child of
choose,choose
circumvention,circumvention
cite,cite
cited,cite
claim,claim
claim responsibility for,claim responsibility for
clarify,clarify
classify,classify
clear,clear
cleared,clear
clerk for,clerk for
clerked at,clerked at
close,close
co-authored,co-author
co-found,co-found
co-founded,co-founded
co-host,co-host
co-opt,co-opt
co-produce,co-produce
co-producer,co-producer
co-sponsor,co-sponsor
coalesce around,coalesce around
codify,codify
cofound,cofound
coincide with,coincide with
collaborate,collaborate
collaborate closely with,collaborate closely with
collapse,collapse
collect,collect
collected,collect
combat,combat
combine,combine
combine with,combine with
come from,come from
commence,begin
commend,commend
comment on,comment on
commentary in,commentary in
commission,commission
commit,commit
commit to,commit to
committed to,committed to
communicate,communicate
communicate with,communicate with
commute,commute
compare,compare
compare to,compare to
compete,compete
compete against,compete against
compete for,compete for
complete,complete
complete denuclearization,complete denuclearization
comply,comply
comply with,comply with
compose,compose
composed of,composed of
compromise,compromise
concede,concede
concede to,concede to
concern,concern
concerned about,concerned about
concerned with,concerned with
conclude,conclude
condemn,denounce
condemned as,condemned as
conduct,conduct
conducted by,conducted by
confident in,confident in
confirm,confirm
confirms,confirm
conflict,conflict
conflict with,conflict with
confront,confront
confronted by,confronted by
congratulate,congratulate
connect with,connect with
consider,consider
considered,consider
considers,consider
consist of,consist of
consists of,consists of
consolidate,consolidate
construct,construct
consult,consult
consultant,consultant
consultant to,consultant to
consummate,consummate
contact,contact
contain,contain
contemplated,contemplate
contend,contend
continue,continue
contradict,contradict
contrast,contrast
contribute to,contribute to
contributed to,contributed to
control,control
convene,convene
convert,convert
convict,convict
convicted of,convicted of
convince,persuade
cooperate,cooperate
copy,copy
correlate,correlate
cosponsor,cosponsor
cost,cost
could build,could build
count,count
counted on,counted on
countered,counter
countersue,countersue
countersued,countersued
cover,cover
cover up,cover up
create,create
created,create
credit,credit
credits,credit
criminalize,criminalize
criticism of,criticism of
criticize,criticize
criticizes,criticize
critique,critique
cross,cross
cultivate,cultivate
curate,curate
cut,cut
cut back,cut back
cut out,cut out
cut ties with,cut ties with
damage,damage
date,date
decide,decide
declare,declare
declare independence,declare independence
declare unconstitutional,declare unconstitutional
declared,declare
decline,decline
decline in support for,decline in support for
decorated with,decorated with
decrease,decrease
deem,deem
deepen,deepen
default,default
defeat,defeat
defeated,defeat
defeated by,defeated by
defeated in,defeated in
defeating,defeat
defend,defend
defended,defend
defender of,defender of
defer,defer
define,define
defraud,defraud
delay,delay
delegate,delegate
delete,delete
deliver,deliver
delivered,deliver
demand,demand
demand investigation,demand investigation
demand resignation,demand resignation
denied,deny
denigrate,denigrate
denounce,denounce
deny,deny
deny entry to,deny entry to
deplete,deplete
deploy,deploy
derail,derail
deregulate,deregulate
descend from,descend from
descended from,descended from
describe,describe
describe as,describe as
described as,described as
design,design
designate,designate
desire,desire
despise,despise
destroy,destroy
detain,detain
determine,determine
develop,develop
developed,develop
deviate from,deviate from
dictate,dictate
did well in,did well in
die in,die in
direct,direct
disable,disable
disagree with,disagree with
disappeared on,disappeared on
disapprove,disapprove
disburse,disburse
discipline,discipline
disclose,disclose
discourage,discourage
discover,discover
discredit,discredit
discuss,discuss
disdain,disdain
disliked,dislike
dismiss,dismiss
dismissed,dismiss
disparage,disparage
dispatch,dispatch
dispute,dispute
disputed,dispute
disqualify,disqualify
disregard,disregard
disrupt,disrupt
dissolve,dissolve
distant from,distant from
distribute,distribute
divert,divert
divide,divide
divide into,divide into
divide on,divide on
divorce,divorce
do better among,do better among
document,document
dominance of,dominance of
dominate,dominate
dominated,dominate
donate,donate
donated to,donated to
donations,donations
double,double
downplay,downplay
draft,draft
drag,drag
draw,draw
draw upon,draw upon
drive,drive
drop,drop
drop out,drop out
earn,earn
earned,earn
echo,echo
elect,elect
elected,elect
elected as,elected as
elected to,elected to
elects,elect
elevate,elevate
eliminate,eliminate
embark on,embark on
embrace,embrace
emerge from,emerge from
emigrate,emigrate
emigrated from,emigrated from
emigrated to,emigrated to
emphasis,emphasis
emphasis on,emphasis on
emphasize,emphasize
employ,employ
employed at,employed at
empower,empower
enact,enact
encourage,encourage
encourages,encourage
end,end
endorse,endorse
enforce,enforce
enforced by,enforced by
engage,engage
engage in,engage in
engender,engender
enlisted,enlist
enroll,enroll
enrolled in,enrolled in
ensure,ensure
ensuring,ensure
enter,enter
entered,enter
entrance into,entrance into
envelop,envelop
equity stake,equity stake
erase,erase
erode,erode
escalate,escalate
establish,establish
estimate,estimate
evade,evade
examine,examine
exceed,exceed
exchange,exchange
exclude,exclude
execute,execute
exemplify,exemplify
exempt,exempt
exercise,exercise
exit,exit
exonerate,exonerate
expand,expand
expand at,expand at
expand lead,expand lead
expand upon,expand upon
expect,expect
expel,expel
experience,experience
explain,explain
export,export
expose,expose
express,express
express admiration for,express admiration for
express desire,express desire
express gratitude to,express gratitude to
express support for,express support for
express willingness,express willingness
expressed support for,expressed support for
expunge,expunge
extend,extend
extensive,extensive
face,face
face off with,face off with
face opposition from,face opposition from
faced,face
faced criticism,faced criticism
faces,face
facilitate,facilitate
facilitates,facilitate
fail,fail
fail to gain approval from,fail to gain approval from
fail to produce,fail to produce
failed to protect,failed to protect
failure to prevent,failure to prevent
falter,falter
fan of,fan of
favor,favor
fear,fear
feature,feature
featured in,featured in
federalize,federalize
fell,fell
fight,fight
file,file
file complaint,file complaint
file complaint against,file complaint against
file for,file for
file for bankruptcy,file for bankruptcy
filed for,filed for
filed suit against,filed suit against
filled,fill
finance,finance
find,find
fine,fine
finish,finish
finish behind,finish behind
fire,fire
first lady of,first lady of
flee,flee
flower,flower
fly,fly
focus,focus
focus on,focus on
fold,fold
follow,follow
following,follow
for,for
force,force
forced by,forced by
forge,forge
forged,forge
form,form
formalize,formalize
formed,form
formulate,formulate
forward,forward
foster,foster
fought against,fought against
found,find
found guilty on,found guilty on
found liable for,found liable for
frame,frame
friend of,friend of
friend with,friend with
friendship,friendship
frustrate,frustrate
fund,fund
furnish,furnish
gain,gain
gain influence,gain influence
garner,garner
gather,gather
gathered in,gathered in
gave,give
gave up,gave up
generate,generate
give,give
give birth,give birth
give eulogy,give eulogy
give speech at,give speech at
give up,give up
gives power to,gives power to
go along with,go along with
go bankrupt,go bankrupt
governed by,governed by
graduate,graduate
graduate from,graduate from
graduate in,graduate in
graduate of,graduate of
graduate student at,graduate student at
graduated from,graduated from
grant,grant
grapple with,grapple with
greet,greet
grow,grow
grow faster than,grow faster than
growing emissions,growing emissions
guarantee,guarantee
guaranteed,guarantee
guarded by,guarded by
guest appearances on,guest appearances on
guide,guide
hack,hack
had,have
hail,hail
halt,halt
halve,halve
hand over to,hand over to
handle,handle
handled,handle
has,have
has ancestor,has ancestor
has seniority over,has seniority over
have,have
have favorable views,have favorable views
have right to,have right to
headquarters in,headquarters in
hear,hear
hear about,hear about
held,hold
held titles of,held titles of
help,help
help pass,help pass
helped,help
hide,hide
higher than,higher than
highlight,highlight
hire,hire
hired,hire
hires,hire
hobble,hobble
hold,hold
honeymoon at,honeymoon at
honor,honor
hope,hope
hospitalized at,hospitalized at
hospitalized for,hospitalized for
host,host
hosts,host
hurt,hurt
identify,identify
identify as,identify as
ignore,ignore
illustrate,illustrate
impact,impact
impeach,impeach
implement,implement
imply,imply
impose,impose
impose limitations on,impose limitations on
improve,improve
incensed by,incensed by
include,include
incorporate,incorporate
increase,decrease
indicate,suggest
indict,indict
indicted on,indicted on
influence,influence
inform,inform
inherit,inherit
inhibit,inhibit
initiate,initiate
injured in confrontations with,injured in confrontations with
insist,insist
insist on leading,insist on leading
inspect,inspect
instruct,instruct
insured,insure
intensify,intensify
intercept,intercept
interested in,interested in
interfere,interfere
intern,intern
interpret,interpret
intervene,intervene
intervene in,intervene in
intervention,intervention
interview,interview
intimidate,intimidate
introduce,introduce
introduce to,introduce to
introduced,introduce
invade,invade
invalidate,invalidate
invasion,invasion
invest,invest
investigate,investigate
investigated by,investigated by
invests in,invests in
invite,invite
invited,invite
invited to speak at,invited to speak at
involve,involve
involved,involve
involved in,involved in
involved with,involved with
is,be
is candidate in,is candidate in
is child of,is child of
is different from,is different from
is first without,is first without
is grandchild of,is grandchild of
is located in,is located in
is member of,is member of
is replaced by,is replaced by
is sibling of,is sibling of
issue,issue
issued,issue
join,join
joke,joke
justify,justify
juxtapose,juxtapose
keep,keep
kill,kill
killed,kill
killed by,killed by
know,think
label,label
lack,lack
lack authority,lack authority
laugh,laugh
launch,launch
lay groundwork for,lay groundwork for
lead,lead
lead to,lead to
leader of,leader of
leading foreign policy figure,leading foreign policy figure
learn,learn
learned of,learned of
leave,leave
led,lead
left office without,left office without
legalized,legalize
lend,lend
lend name to,lend name to
lessen,reduce
leverage,leverage
liberate,liberate
license,license
lied,lie
lied to,lied to
lift,lift
like,like
likened,liken
likened to,likened to
limit,limit
link to,link to
liquidated,liquidate
list,list
litigate,litigate
live,live
live at,live at
live in,live in
live with,live with
loaning money to,loaning money to
lobby,lobby
lobby against,lobby against
locate in,locate in
lose,lose
lose to,lose to
loss,loss
lost,lose
lower,lower
made,make
mainstream of,mainstream of
maintain,maintain
make,make
make gains in,make gains in
make progress,make progress
make public,make public
make trips,make trips
manage,manage
mandate,mandate
manipulate,manipulate
mark,mark
mark as,mark as
married,marry
married at,married at
married in,married in
married on,married on
married to,married to
marry,marry
measure,measure
mediates,mediate
meet,meet
meet at,meet at
meet with,meet with
meeting,meet
member of,member of
mentions,mention
mentor,mentor
merge,merge
met,meet
met in,met in
minimize,reduce
mirror,mirror
misattribute,misattribute
miscast,miscast
mischaracterize,mischaracterize
mishandle,mishandle
misrepresent,misrepresent
misuse,misuse
mitigate,mitigate
mobilize,mobilize
modernize,modernize
monitor,monitor
move,move
move closer to,move closer to
move from,move from
move in,move in
move quickly,move quickly
move to,move to
moved to,moved to
murder,murder
name,name
named,name
need,need
negative impact on,negative impact on
negotiate,negotiate
negotiate with,negotiate with
net worth,net worth
never used,never used
no nominee for,no nominee for
nominate,nominate
nominated,nominate
nominated by,nominated by
nomination,nomination
normalize relations,normalize relations
not advocate,not advocate
not aware of,not aware of
not confirm,not confirm
not do business,not do business
not eligible for,not eligible for
not engage,not engage
not greet,not greet
not ratify,not ratify
not release,not release
not secure,not secure
note,note
noted,note
notice,notice
notify,notify
nurture,nurture
observe,observe
obstruct,obstruct
obtain,obtain
obtained,obtain
occur,occur
offer,offer
offshore,offshore
open,open
open to,open to
open up,open up
opened,open
operate in,operate in
oppose,oppose
opposed,oppose
opted for,opted for
order,order
ordered by,ordered by
ordered to pay,ordered to pay
organize,organize
originate from,originate from
oust,oust
outline,outline
outpaced,outpace
overcome,overcome
overestimate,overestimate
overhaul,overhaul
oversee,oversee
overtake,overtake
overthrown,overthrow
overturn,overturn
overturned by,overturned by
owe,owe
own,own
pack,pack
pardon,pardon
part of,part of
partially close,partially close
participate,participate
participate in,participate in
participated in,participated in
participates in,participates in
partner with,partner with
partner-in-charge,partner-in-charge
partnership with,partnership with
pass,pass
pass to,pass to
pay,pay
perception of,perception of
perform better in,perform better in
performance on,performance on
permit,permit
persecute,persecute
persuade,persuade
persuading,persuade
pick up,pick up
place,place
place at apex of,place at apex of
plan,plan
plan for,plan for
plant,plant
play,play
play key role in,play key role in
play role in,play role in
plead,plead
plead guilty to,plead guilty to
pledge,pledge
points to,points to
poisoned with,poisoned with
polarize,polarize
pollute,pollute
portray,portray
pose with,pose with
positive impact on,positive impact on
possess,possess
posted,post
postpone,postpone
practice,practice
practicing,practice
practise,practise
praise,praise
precede,precede
predict,predict
prefer,prefer
preferred,prefer
prefers,prefer
prejudice,prejudice
prepare for,prepare for
presence,presence
present,present
presented,present
preside over,preside over
president of,president of
press,press
pressure,pressure
pressured,pressure
pretend,pretend
prevent,prevent
previous marriage,previous marriage
prioritize,prioritize
probes,probe
process,process
produce,produce
profit from,profit from
prohibit,prohibit
promise,promise
promote,promote
prompt,prompt
proponent of,proponent of
propose,propose
propose to,propose to
proposed,propose
proposing,propose
prosecute,prosecute
protect,safeguard
protest,protest
protest against,protest against
prove,prove
prove to be,prove to be
provide,provide
provide protection for,provide protection for
publicize,publicize
publish,publish
published,publish
pull back,pull back
punish,punish
purchase,buy
pursue,pursue
push,push
push for,push for
put,put
put in,put in
quadruple,quadruple
quantify,quantify
question,question
raise,raise
raise questions about,raise questions about
raised in,raised in
rally around,rally around
ran against,ran against
ran for,ran for
rank,rank
rank among,rank among
ranks,rank
rate,rate
rated as,rated as
ratify,ratify
re-elected,re-elected
re-election,re-election
re-establish,re-establish
reach,reach
reach out to,reach out to
react,react
read,read
ready for,ready for
reaffirm,reiterate
realize,realize
reassert,reassert
reassign,reassign
reauthorize,reauthorize
rebelled against,rebelled against
rebound,rebound
rebuild,rebuild
rebuke,rebuke
recall,recall
recede,recede
receive,receive
receive help from,receive help from
reciprocate touch,reciprocate touch
reclassify,reclassify
recognize,acknowledge
recommend,recommend
recommended,recommend
reconnect,reconnect
reconsider,reconsider
recover,recover
recruit,recruit
recruited,recruit
recruited to,recruited to
redeploy,redeploy
reduce,reduce
reelected,reelect
reelected to,reelected to
reenter,reenter
reevaluate,reevaluate
refer,refer
refer to,refer to
reflect,reflect
reform,reform
refrain from,refrain from
reframe,reframe
refuse,refuse
refused to ratify,refused to ratify
refute,refute
regain,regain
regard as,regard as
regarded,regard
regarded as,regarded as
regarding,regard
register,register
regret,regret
regulate,regulate
reimburse,reimburse
reinforces,reinforce
reinstate,reinstate
reiterated,reiterate
reject,reject
rejected by,rejected by
rejects,reject
rejoin,rejoin
relate to,relate to
related to,related to
relax,relax
release,release
relies on,relies on
relocate to,relocate to
reluctant to become involved,reluctant to become involved
reluctant to implement,reluctant to implement
rely on,rely on
remain,remain
remain defiant about,remain defiant about
remain head of,remain head of
remain in,remain in
remain in touch with,remain in touch with
remained higher than,remained higher than
remake,remake
remand,remand
remove,remove
rename,rename
renew,renew
renovate,renovate
reopen,reopen
reorganise,reorganise
reorient,reorient
repay,repay
repeal,repeal
repeat,repeat
replace,replace
replaced,replace
replaced by,replaced by
report,report
reported,report
represent,represent
represented,represent
represents,represent
request,request
require,require
reside in,reside in
resign,resign
resign from,resign from
resigning in,resigning in
resist,resist
resolve,resolve
respond,respond
respond to,respond to
responsible for,responsible for
restore,restore
restrains,restrain
restrict,restrict
restricts,restrict
restructure,restructure
result in,result in
resume,resume
retain,retain
retaliate,retaliate
retire with,retire with
retrieve,retrieve
return,return
return to,return to
returned to,returned to
reveal,reveal
reverse,reverse
review,review
revive,revive
revoke,revoke
rewarded,reward
rising to,rising to
risk,risk
roll back,roll back
rooted for,rooted for
rule,rule
ruled against,ruled against
run,run
run for,run for
run on,run on
running for,running for
safeguard,safeguard
said,say
sale,sale
sanction,sanction
sanctioned,sanction
sanctions,sanction
satisfied with,satisfied with
save,save
saved,save
say,say
scale back,scale back
scan,scan
schedule,schedule
scheduled,schedule
scold,scold
search,search
seated by,seated by
secure,secure
see,see
seek,seek
seen sympathetically by,seen sympathetically by
sees,see
sees flaws in,sees flaws in
seize,seize
seize power from,seize power from
select,select
selected,select
sell,sell
send,send
sent to,sent to
sentence,sentence
sentenced to,sentenced to
separate,separate
serve,serve
serve alongside,serve alongside
serve as,serve as
serve in,serve in
serve on,serve on
served as,served as
served full term without,served full term without
served under,served under
set,set
set for,set for
set record for,set record for
set terms for,set terms for
set up,set up
settle,settle
share,share
shepherd,shepherd
shield,shield
shields,shield
shift,shift
shift to,shift to
shocked by,shocked by
shore up,shore up
show,show
showed,show
shrink,shrink
side with,side with
sign,sign
sign deal with,sign deal with
sign into law,sign into law
signed,sign
silence,silence
simplify,simplify
sing in,sing in
sit as,sit as
sit in,sit in
sit on,sit on
sits,sit
size,size
skeptical of,skeptical of
sketch,sketch
slow,slow
slow to use force against,slow to use force against
sold,sell
sought,seek
speak,speak
speak about,speak about
speak at,speak at
speak out against,speak out against
speak to,speak to
specialize in,specialize in
specify,specify
speculate,speculate
speculates,speculate
speculation over,speculation over
spend,spend
spent more on,spent more on
split,split
sponsor,sponsor
spouse,spouse
stabilize,stabilize
start,start
state,state
stay,stay
stay ahead of,stay ahead of
stay at,stay at
stay with,stay with
stayed in office despite,stayed in office despite
steal,steal
stem,stem
stepmother,stepmother
stimulate,stimulate
stop,stop
stop short of,stop short of
strain,strain
strengthen,strengthen
strengthen ties with,strengthen ties with
stress,stress
structure,structure
study at,study at
subject of,subject of
subject to,subject to
subjected to,subjected to
submit,submit
subpoena,subpoena
subsidize,subsidize
succeed,succeed
succeed to,succeed to
succeeded,succeed
succeeded by,succeeded by
sue,sue
sued,sue
suffer,suffer
suggest,suggest
suggests,suggest
sum up,sum up
summarize,summarize
supersede,supersede
supervise,oversee
supply,supply
support,support
support rose,support rose
supported,support
supporter of,supporter of
supports,support
surge,surge
surrender,surrender
survive,survive
survived,survive
suspend,suspend
sustain,sustain
sustained,sustain
swayed by,swayed by
swear in,swear in
sweep,sweep
swift,swift
switch off,switch off
switching to,switching to
swore in,swore in
sworn in,sworn in
sworn in as,sworn in as
sworn-in,sworn-in
symbolize,symbolize
sympathize,sympathize
tag,tag
take,take
take a firmer line on,take a firmer line on
take control,take control
take effect on,take effect on
take interest in,take interest in
take leave from,take leave from
take office,take office
take position at,take position at
take responsibility for,take responsibility for
taking positions characteristic of,taking positions characteristic of
talk,talk
talk about,talk about
tally,tally
tardy response to,tardy response to
target,target
target of,target of
taught at,taught at
teach,teach
teach at,teach at
tell,tell
tensions between,tensions between
terminate,terminate
test,test
tested positive for,tested positive for
testify,testify
testify before,testify before
testify to,testify to
think,think
threaten,threaten
threaten to veto,threaten to veto
tie,tie
tied,tie
tilt,tilt
title,title
told,tell
took,take
took office,took office
took office as,took office as
took place during,took place during
top,top
tour,tour
tour with,tour with
track,track
train at,train at
transfer,transfer
transfer to,transfer to
transferred to,transferred to
transform,transform
transition,transition
translate,translate
travel,travel
travel to,travel to
treated,treat
treated with,treated with
trust,trust
turn down,turn down
turn over,turn over
turned over,turned over
tweet,tweet
unconcerned,unconcerned
undergo,undergo
undermine,weaken
underperform,underperform
unify,unify
uphold,uphold
urge,urge
urge toward,urge toward
use,use
used by,used by
v.,v.
value,value
vest,vest
vet,vet
veto,veto
victory in,victory in
victory over,victory over
view,view
view as threat,view as threat
viewed as,viewed as
violate,violate
violations,violations
visit,visit
visited,visit
voice,voice
volunteer at,volunteer at
vote,vote
vote against,vote against
vote for,vote for
vote in favor of,vote in favor of
vote on,vote on
vote to acquit,vote to acquit
vote to convict,vote to convict
vow,pledge
wage,wage
waived,waive
want,want
warn,warn
warned,warn
was,be
was against,was against
was born in,was born in
was born on,was born on
was part of,was part of
was shot,was shot
watch,watch
waver on,waver on
weaken,erode
weaponize,weaponize
wear,wear
widen,widen
win,win
win by,win by
win ratification,win ratification
win support from,win support from
winning,win
wipe,wipe
with,with
withdraw,withdraw
withdraw from,withdraw from
withdrew from,withdrew from
withhold,withhold
won,win
work,work
work as,work as
work at,work at
work for,work for
work on,work on
work remotely from,work remotely from
work with,work with
worked as,worked as
worked at,worked at
worked in,worked in
worried about,worried about
worry about,worry about
write,write
write on,write on
wrote,write
